Fold,Model,Model_ZH,Method,Method_ZH,High_F1,Medium_F1,Low_F1,High_Precision,High_Recall,Macro_F1,Balanced_Accuracy,G_mean
4,Logistic Regression,逻辑回归,SMOTE,SMOTE,0.8,0.9673202614379085,0.9820359281437125,0.6666666666666666,1.0,0.9164520631938737,0.9794633642930858,0.9793494521308476
4,Decision Tree,决策树,SMOTEENN,SMOTEENN,0.4,0.7914110429447853,0.8087774294670846,0.42857142857142855,0.375,0.6667294908039566,0.6608359133126935,0.6227389924377463
4,Random Forest,随机森林,SMOTEENN,SMOTEENN,0.4,0.8875,0.916923076923077,0.42857142857142855,0.375,0.7348076923076924,0.7285603715170278,0.6746385031521906
4,SVM,支持向量机,SMOTEENN,SMOTEENN,0.6666666666666666,0.9171974522292994,0.9365558912386707,0.7142857142857143,0.625,0.8401400033782123,0.8280443756449948,0.8142552475406982
4,KNN,K近邻,SMOTEENN,SMOTEENN,0.2857142857142857,0.7517241379310344,0.8847352024922118,0.17073170731707318,0.875,0.640724542045844,0.8091331269349845,0.8062631209993261
4,Logistic Regression,逻辑回归,SMOTEENN,SMOTEENN,0.7619047619047619,0.9514563106796117,0.9696969696969697,0.6153846153846154,1.0,0.8943526807604477,0.9694272445820434,0.9691290294508603
4,Decision Tree,决策树,BorderlineSMOTE,BorderlineSMOTE,0.3157894736842105,0.8126984126984127,0.8588957055214724,0.2727272727272727,0.375,0.6624611973013652,0.6802115583075334,0.6383010927239465
4,Random Forest,随机森林,BorderlineSMOTE,BorderlineSMOTE,0.5,0.9148264984227129,0.9365558912386707,0.75,0.375,0.7837941298871279,0.7469040247678018,0.6883555519898775
4,SVM,支持向量机,BorderlineSMOTE,BorderlineSMOTE,0.46153846153846156,0.9255663430420712,0.9526627218934911,0.6,0.375,0.7799225088246745,0.754282765737874,0.693905330922495
4,KNN,K近邻,BorderlineSMOTE,BorderlineSMOTE,0.29411764705882354,0.7905405405405406,0.8848484848484849,0.19230769230769232,0.625,0.6565022241492829,0.751186790505676,0.7448041282942581
4,Logistic Regression,逻辑回归,BorderlineSMOTE,BorderlineSMOTE,0.7777777777777778,0.9706840390879479,0.9850746268656716,0.7,0.875,0.9111788145771325,0.9419504643962848,0.940723338848831
4,Decision Tree,决策树,GAN,GAN,0.46153846153846156,0.848297213622291,0.8703703703703703,0.6,0.375,0.7267353485103744,0.7019091847265222,0.6544746246967029
4,Random Forest,随机森林,GAN,GAN,0.4,0.8987341772151899,0.9221556886227545,1.0,0.25,0.7402966219459816,0.6966976264189886,0.5958709157615941
4,SVM,支持向量机,GAN,GAN,0.4,0.9294871794871795,0.9526627218934911,1.0,0.25,0.760716633793557,0.7170020639834881,0.6089950919274595
4,KNN,K近邻,GAN,GAN,0.2222222222222222,0.8525641025641025,0.8849557522123894,1.0,0.125,0.6532473589995714,0.6274509803921569,0.45869091093099873
4,Logistic Regression,逻辑回归,GAN,GAN,0.7142857142857143,0.9710610932475884,0.9850746268656716,0.8333333333333334,0.625,0.8901404781329915,0.8630030959752322,0.844661695502822
5,Decision Tree,决策树,NoSampling,不采样,0.35294117647058826,0.7672131147540984,0.8165680473372781,0.3333333333333333,0.375,0.6455741128539882,0.6522839936485806,0.6166532897411644
5,Random Forest,随机森林,NoSampling,不采样,0.2222222222222222,0.8903225806451613,0.9208211143695014,1.0,0.125,0.6777886390789617,0.652345313246324,0.4715979385567809
5,SVM,支持向量机,NoSampling,不采样,0.0,0.9320388349514563,0.9620991253644315,0.0,0.0,0.631379320105296,0.6395182216025715,0.0
5,KNN,K近邻,NoSampling,不采样,0.0,0.8387096774193549,0.8771929824561403,0.0,0.0,0.5719675532918317,0.579373378258007,0.0
